Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25621707630391;Courbe de charge;20/10/2020;20/10/2021;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-07-07T03:00:00+02:00;236
2021-07-07T04:00:00+02:00;519
2021-07-07T05:00:00+02:00;550
2021-07-07T06:00:00+02:00;230
2021-07-07T07:00:00+02:00;266
2021-07-07T08:00:00+02:00;904
2021-07-07T09:00:00+02:00;1014
2021-07-07T10:00:00+02:00;1130
2021-07-07T11:00:00+02:00;3517
2021-07-07T12:00:00+02:00;1948
2021-07-07T13:00:00+02:00;2158
2021-07-07T14:00:00+02:00;971
2021-07-07T15:00:00+02:00;405
2021-07-07T16:00:00+02:00;1012
2021-07-07T17:00:00+02:00;1153
2021-07-07T18:00:00+02:00;1764
2021-07-07T19:00:00+02:00;2928
2021-07-07T20:00:00+02:00;1488
2021-07-07T21:00:00+02:00;543
2021-07-07T22:00:00+02:00;1797
2021-07-07T23:00:00+02:00;1405
2021-07-08T00:00:00+02:00;276
2021-07-08T01:00:00+02:00;349
2021-07-08T02:00:00+02:00;619
2021-07-08T03:00:00+02:00;271
2021-07-08T04:00:00+02:00;265
2021-07-08T05:00:00+02:00;285
2021-07-08T06:00:00+02:00;243
2021-07-08T07:00:00+02:00;397
2021-07-08T08:00:00+02:00;1600
2021-07-08T09:00:00+02:00;1951
2021-07-08T10:00:00+02:00;1964
2021-07-08T11:00:00+02:00;337
2021-07-08T12:00:00+02:00;563
2021-07-08T13:00:00+02:00;765
2021-07-08T14:00:00+02:00;837
2021-07-08T15:00:00+02:00;432
2021-07-08T16:00:00+02:00;1223
2021-07-08T17:00:00+02:00;2088
2021-07-08T18:00:00+02:00;542
2021-07-08T19:00:00+02:00;904
2021-07-08T20:00:00+02:00;2493
2021-07-08T21:00:00+02:00;2470
2021-07-08T22:00:00+02:00;674
2021-07-08T23:00:00+02:00;305
2021-07-09T00:00:00+02:00;273
2021-07-09T01:00:00+02:00;174
2021-07-09T02:00:00+02:00;500
2021-07-09T03:00:00+02:00;197
2021-07-09T04:00:00+02:00;181
2021-07-09T05:00:00+02:00;217
2021-07-09T06:00:00+02:00;248
2021-07-09T07:00:00+02:00;912
2021-07-09T08:00:00+02:00;160
2021-07-09T09:00:00+02:00;360
2021-07-09T10:00:00+02:00;279
2021-07-09T11:00:00+02:00;248
2021-07-09T12:00:00+02:00;198
2021-07-09T13:00:00+02:00;1547
2021-07-09T14:00:00+02:00;435
2021-07-09T15:00:00+02:00;189
2021-07-09T16:00:00+02:00;222
2021-07-09T17:00:00+02:00;377
2021-07-09T18:00:00+02:00;815
2021-07-09T19:00:00+02:00;223
2021-07-09T20:00:00+02:00;2818
2021-07-09T21:00:00+02:00;880
2021-07-09T22:00:00+02:00;319
2021-07-09T23:00:00+02:00;1658
2021-07-10T00:00:00+02:00;1404
2021-07-10T01:00:00+02:00;503
2021-07-10T02:00:00+02:00;199
2021-07-10T03:00:00+02:00;181
2021-07-10T04:00:00+02:00;164
2021-07-10T05:00:00+02:00;192
2021-07-10T06:00:00+02:00;193
2021-07-10T07:00:00+02:00;180
2021-07-10T08:00:00+02:00;1328
2021-07-10T09:00:00+02:00;1188
